Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Estimates Start After
El Salvador,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,106.81","2,147.31","2,120.09","2,224.35","2,319.73","2,389.62","2,417.78","2,511.38","2,611.39","2,696.38","2,881.14","3,032.40","3,287.06","3,555.19","3,796.31","4,073.18","4,174.70","4,388.72","4,571.44","4,777.20","4,965.94","5,140.05","5,323.35","5,535.95","5,774.29","6,152.08","6,556.77","6,966.86","7,158.95","6,953.40","7,088.53","7,347.99","7,575.70","7,809.99",2007
Equatorial Guinea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",424.426,456.703,465.254,467.658,453.34,496.225,471.111,485.794,500.254,498.332,513.578,507.021,666.929,729.11,841.064,973.958,"1,579.99","3,854.39","4,671.33","5,774.54","11,180.20","18,434.15","21,718.70","24,462.22","33,565.83","36,407.64","35,294.15","39,521.80","43,050.93","40,259.00","38,104.71","38,547.49","40,374.31","37,310.22",2010
Eritrea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,700.758,811.083,933.829,"1,143.64","1,173.48","1,274.73","1,352.82","1,356.48","1,341.59","1,155.06","1,221.87","1,228.88","1,178.30","1,185.94","1,167.02","1,174.39","1,045.70","1,059.88","1,061.37","1,139.70","1,202.53","1,198.87",2006
Estonia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"7,324.61","7,528.77","8,008.02","8,726.18","10,058.26","10,684.21","10,862.71","12,348.13","13,479.05","14,578.57","16,033.20","17,575.59","19,893.95","22,659.03","25,106.83","24,238.61","20,834.66","21,613.25","23,731.02","26,318.30","27,335.75",2013
Ethiopia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",312.042,333.143,347.301,377.404,369.638,327.17,354.551,400.96,404.13,404.459,416.233,385.753,347.373,389.812,398.755,418.699,469.846,477.649,450.054,472.764,517.088,551.557,553.807,521.045,583.011,660.679,740.313,828.123,924.044,"1,008.42","1,110.83","1,242.96","1,354.31","1,487.76",2008
Fiji,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,043.25","2,311.75","2,366.42","2,297.83","2,564.74","2,507.50","2,701.80","2,561.23","2,739.50","3,217.04","3,510.30","3,495.94","3,747.45","3,881.35","4,107.27","4,342.74","4,578.18","4,502.77","4,564.20","5,021.77","5,014.83","5,210.56","5,447.12","5,604.31","6,059.48","6,383.60","6,656.71","6,715.59","6,848.68","6,736.17","6,954.02","7,227.74","7,437.14","7,851.52",2013
Finland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,677.94","10,679.06","11,625.56","12,364.81","13,117.03","13,912.58","14,515.84","15,368.89","16,674.52","18,202.89","18,542.43","17,939.24","17,630.53","17,825.28","18,836.53","19,956.31","20,989.47","22,615.24","24,031.09","25,422.47","27,404.12","28,697.77","29,549.33","30,672.22","32,668.69","34,545.62","36,917.13","39,703.22","40,592.80","37,336.99","38,741.41","40,377.73","40,340.01","40,348.15",2014
France,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,763.98","11,830.43","12,807.01","13,402.11","14,026.46","14,640.29","15,216.57","15,929.35","17,179.72","18,524.21","19,661.79","20,432.12","21,131.88","21,405.12","22,297.31","23,161.49","23,835.85","24,733.75","25,810.01","27,006.28","28,514.84","29,529.83","30,105.51","30,743.21","32,252.24","33,571.06","35,172.58","36,724.65","37,313.11","36,297.36","37,284.25","38,657.22","39,251.05","39,978.63",2014
Gabon,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,909.99","9,150.95","9,899.43","10,270.14","10,915.57","11,661.68","11,396.24","9,674.46","10,140.48","11,898.62","12,694.73","13,485.49","12,962.11","13,467.70","13,917.09","14,550.23","14,978.40","15,716.19","16,038.28","14,465.80","14,162.27","14,435.52","14,561.27","14,735.84","14,937.18","14,923.42","14,720.46","15,677.25","16,025.90","15,552.94","16,490.21","17,764.96","18,767.98","19,859.68",0
The Gambia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",729.833,680.005,841.003,954.216,876.924,901.155,904.077,915.663,925.979,964.218,"1,015.31","1,029.68","1,029.62","1,033.98",985.941,"1,008.48","1,025.95","1,012.40","1,059.76","1,112.81","1,166.94","1,225.73","1,168.82","1,236.53","1,320.31","1,311.18","1,328.17","1,373.87","1,440.64","1,503.28","1,577.19","1,499.23","1,569.03","1,626.09",2010
Georgia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,538.21","1,656.72","1,911.82","2,204.77","2,320.06","2,444.33","2,568.26","2,773.70","2,991.90","3,430.86","3,778.51","4,328.78","4,943.27","5,787.67","6,135.40","6,030.36","6,570.50","7,286.87","8,006.21","8,525.75",2013
Germany,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,231.45","12,270.59","12,938.43","13,706.06","14,652.74","15,491.38","16,174.60","16,828.12","17,958.46","19,195.03","20,648.34","22,117.75","22,764.50","22,974.72","23,997.56","24,857.62","25,468.25","26,382.37","27,149.06","28,029.96","29,548.90","30,711.90","31,152.04","31,542.11","32,649.67","34,021.90","36,482.13","38,765.71","39,949.20","38,105.39","40,117.59","43,220.71","44,179.10","44,945.64",2013
Ghana,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",807.843,882.581,845.616,806.174,858.879,914.767,949.311,"1,004.93","1,109.29","1,175.41","1,228.22","1,299.79","1,349.24","1,409.76","1,452.62","1,504.52","1,561.63","1,629.72","1,688.40","1,749.86","1,818.15","1,894.78","1,963.22","2,052.26","2,165.43","2,310.66","2,464.56","2,577.94","2,801.77","2,911.93","3,101.00","3,518.97","3,774.80","4,014.29",0
Greece,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,998.98","9,601.73","10,013.00","10,240.59","10,768.02","11,344.46","11,588.76","11,575.45","12,448.34","13,357.35","13,760.74","14,536.15","14,822.26","14,771.71","15,227.56","15,723.81","16,351.28","17,395.61","18,190.01","18,943.15","20,064.55","21,227.92","22,167.42","24,043.67","25,837.11","26,818.50","29,148.97","30,895.19","31,253.46","30,084.16","28,810.86","26,944.00","25,637.78","25,177.81",2014
Grenada,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,860.57","2,016.56","2,178.58","2,254.77","2,387.64","2,614.60","2,889.03","3,307.07","3,580.30","3,991.68","4,381.37","4,635.40","4,704.13","4,649.89","4,837.34","5,029.81","5,326.50","5,679.41","6,464.79","7,054.03","7,649.96","7,648.71","8,013.41","8,923.11","9,083.75","10,589.94","10,448.17","11,347.18","11,640.59","10,915.06","10,951.92","11,220.94","11,251.82","11,656.67",2011
Guatemala,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,800.72","3,005.53","3,002.60","2,966.47","3,010.29","3,010.72","2,997.65","3,104.93","3,256.28","3,430.59","3,579.95","3,722.76","3,891.04","4,024.20","4,155.83","4,328.25","4,428.42","4,583.27","4,736.68","4,872.53","4,988.36","5,099.63","5,247.25","5,352.07","5,532.57","5,751.53","6,094.23","6,488.94","6,667.54","6,589.34","6,694.21","6,943.18","7,103.50","7,303.64",2010
Guinea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,736.534,731.807,729.081,739.952,746.403,764.745,787.56,822.065,844.898,875.651,902.749,941.046,988.134,"1,002.81","1,034.82","1,077.53","1,112.51","1,133.50","1,181.31","1,155.74","1,161.50","1,200.31","1,236.93","1,253.88",2009
Guinea-Bissau,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",564.096,601.076,651.499,640.736,685.57,722.753,714.938,759.435,785.731,823.54,875.388,951.2,982.72,"1,008.12","1,038.71","1,081.01","1,119.58","1,183.59",933.02,"1,079.18","1,052.73","1,076.26","1,058.35","1,061.89","1,096.85","1,154.91","1,191.79","1,235.76","1,272.49","1,295.62","1,338.44","1,459.28","1,426.95","1,429.56",2004
Guyana,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,640.31","1,783.06","1,687.12","1,650.06","1,745.07","1,807.50","1,839.63","1,884.12","1,833.44","1,811.49","1,836.93","2,087.46","2,253.07","2,469.18","2,675.66","2,833.46","3,097.73","3,340.70","3,326.44","3,460.20","3,670.12","3,832.97","3,899.75","3,938.21","4,095.89","4,131.48","4,461.56","4,890.98","5,065.58","5,250.14","5,487.38","5,817.67","6,157.95","6,557.84",2002
Haiti,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,074.54","1,166.20","1,182.69","1,189.55","1,212.41","1,238.34","1,244.29","1,247.99","1,283.65","1,292.16","1,307.19","1,342.84","1,316.76","1,255.86","1,109.76","1,221.58","1,271.30","1,303.64","1,322.27","1,354.75","1,374.02","1,368.01","1,363.72","1,374.78","1,342.86","1,391.14","1,446.18","1,514.13","1,536.74","1,575.41","1,487.00","1,579.75","1,632.34","1,705.34",0
Honduras,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,440.94","1,565.29","1,589.99","1,588.23","1,664.46","1,735.84","1,731.68","1,828.13","1,921.69","2,024.08","2,041.75","2,118.66","2,227.38","2,359.16","2,318.12","2,403.67","2,476.78","2,586.66","2,633.26","2,568.40","2,760.43","2,841.23","2,932.90","3,064.95","3,279.08","3,518.41","3,788.56","4,048.92","4,218.48","4,065.26","4,183.70","4,345.21","4,515.53","4,622.63",2001
Hong Kong SAR,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,771.06","7,896.59","8,497.39","9,206.54","10,330.61","10,601.73","11,875.42","13,731.90","15,220.29","16,017.16","17,169.34","18,548.27","19,906.48","21,245.45","22,551.24","23,001.59","23,843.42","25,292.46","23,819.10","24,587.41","26,775.85","27,462.74","28,365.26","29,645.81","32,948.01","36,306.43","39,667.98","43,143.12","44,760.96","43,787.44","46,948.24","49,798.64","51,107.65","53,211.05",2014
Hungary,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,288.22","7,075.09","7,735.31","8,116.45","8,653.25","8,942.56","9,297.04","9,968.39","10,355.04","10,881.31","10,937.90","9,959.53","9,873.98","10,058.99","10,591.20","11,101.11","11,325.08","11,930.57","12,593.24","13,234.76","14,152.65","15,048.25","16,004.71","16,995.73","18,344.69","19,778.60","21,238.41","21,938.97","22,613.05","21,321.85","21,789.60","22,704.66","22,905.02","23,688.30",2014
Iceland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,698.24","12,069.53","12,933.54","12,967.50","13,813.33","14,590.75","15,713.96","17,352.23","17,696.81","18,113.62","18,863.52","19,289.59","18,780.31","19,282.22","20,197.14","20,494.43","21,787.06","23,007.03","24,543.75","25,643.18","27,137.05","28,361.59","28,603.15","29,776.34","32,871.04","35,582.63","37,414.09","40,992.22","41,367.43","39,244.10","38,507.59","39,980.42","41,053.78","43,041.22",2014
India,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",563.168,639.447,687.381,750.406,789.446,839.466,878.375,916.525,"1,018.21","1,097.77","1,177.36","1,205.49","1,274.57","1,337.87","1,428.78","1,538.92","1,653.44","1,716.82","1,808.29","1,955.49","2,041.10","2,151.51","2,235.63","2,423.90","2,644.58","2,938.76","3,262.81","3,626.59","3,788.71","4,084.95","4,494.01","4,801.36","5,032.61","5,396.53",2013
Indonesia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,250.41","1,442.61","1,536.17","1,631.51","1,782.15","1,873.97","2,009.46","2,153.61","2,338.34","2,598.59","2,880.35","3,189.06","3,417.84","3,715.90","4,014.56","4,362.81","4,735.06","4,984.91","4,327.56","4,377.99","4,646.85","4,856.66","5,080.64","5,353.32","5,696.02","6,126.59","6,568.55","7,070.37","7,636.64","7,943.14","8,432.70","8,973.56","9,554.34","10,112.04",2014
Islamic Republic of Iran,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,511.36","4,995.98","5,837.24","6,434.90","6,618.25","6,839.56","6,118.10","5,989.51","5,199.28","5,598.37","6,776.98","7,703.59","7,382.81","7,515.62","7,436.58","7,506.08","8,335.33","8,815.36","8,962.07","9,137.39","9,729.72","10,075.61","10,876.08","11,754.46","12,411.56","13,149.00","14,101.37","15,623.01","15,875.71","16,138.26","17,143.36","17,957.44","16,888.60","16,621.91",2012
Iraq,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"9,711.57","9,930.05","10,547.56","10,773.02","11,609.75","11,799.19","12,380.02","13,247.84","14,986.10","15,823.71",2013
Ireland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,196.03","7,966.29","8,496.69","8,707.62","9,239.66","9,690.82","9,926.43","10,532.85","11,278.64","12,449.80","13,920.42","14,537.35","15,276.20","15,913.77","17,153.74","19,109.31","21,116.24","23,629.57","25,742.36","28,651.19","31,892.24","34,004.05","35,922.37","37,446.99","39,523.09","42,449.06","45,424.94","47,611.17","46,337.95","43,587.93","44,088.25","45,960.12","46,770.14","48,133.51",2014
Israel,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,990.41","7,947.18","8,409.54","8,781.04","9,175.22","9,717.62","10,108.40","10,964.08","11,559.68","11,973.41","12,836.41","13,066.11","13,825.01","14,309.39","15,245.37","16,612.79","17,514.70","18,090.58","18,605.12","19,114.97","20,727.22","20,754.07","20,640.63","20,916.31","22,195.21","23,498.14","25,171.95","26,951.18","27,815.41","27,716.40","29,063.81","30,585.05","31,461.28","32,403.79",2014
Italy,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,543.85","11,606.99","12,368.33","12,997.91","13,892.86","14,732.59","15,456.85","16,358.30","17,636.41","18,929.74","20,016.85","20,981.94","21,615.16","21,914.18","22,853.68","23,874.62","24,623.29","25,490.25","26,170.64","26,983.72","28,614.35","29,765.89","30,284.39","30,857.96","32,003.85","33,128.88","34,718.32","36,068.48","36,123.68","34,200.15","35,097.39","35,926.19","35,556.68","35,349.38",2014
Jamaica,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,886.06","3,237.01","3,484.46","3,698.41","3,857.34","3,886.01","4,204.07","4,609.81","4,553.83","4,943.60","5,283.41","5,468.74","5,705.99","5,921.79","6,107.44","6,334.35","6,404.85","6,345.80","6,275.31","6,372.36","6,507.81","6,682.56","6,774.33","7,107.53","7,348.12","7,605.33","8,024.17","8,319.86","8,380.44","8,123.84","8,068.55","8,312.43","8,378.21","8,485.59",2014
Japan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,539.68","9,655.43","10,526.28","11,199.64","12,035.68","13,125.09","13,693.84","14,549.35","16,064.62","17,517.33","19,111.27","20,328.37","20,882.05","21,345.60","21,927.83","22,762.96","23,727.58","24,461.61","24,172.53","24,447.11","25,520.42","26,124.62","26,549.75","27,493.66","28,885.80","30,198.11","31,634.14","33,153.51","33,430.48","31,825.96","33,733.58","34,314.25","35,634.65","36,868.33",2014
Jordan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,693.36","4,556.62","4,985.83","4,879.59","5,072.64","4,902.95","5,079.56","5,130.91","5,186.96","4,631.21","4,341.63","4,271.83","4,810.37","4,953.68","5,123.18","5,391.42","5,451.59","5,572.74","5,656.01","5,792.69","6,025.07","6,329.42","6,638.39","6,875.75","7,497.47","8,180.23","8,907.29","9,679.32","10,353.23","10,763.96","10,904.75","11,169.30","11,422.50","11,677.44",2013
Kazakhstan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"7,025.31","6,588.06","6,291.37","5,942.65","6,158.04","6,492.59","6,538.61","6,842.49","7,702.60","8,950.43","9,967.87","11,049.43","12,341.17","13,841.16","15,613.13","17,263.38","17,937.89","17,816.62","19,073.51","20,625.81","21,745.79","23,080.87",2014
Kenya,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,018.60","1,117.66","1,203.26","1,228.75","1,250.07","1,298.31","1,370.21","1,437.77","1,526.64","1,603.52","1,681.48","1,709.79","1,679.84","1,668.48","1,696.59","1,753.98","1,806.27","1,791.39","1,810.90","1,824.70","1,822.30","1,885.85","1,872.24","1,912.99","2,001.36","2,124.04","2,255.11","2,407.16","2,393.89","2,424.78","2,605.35","2,750.21","2,842.11","2,972.38",2013
Kiribati,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",952.001,"1,004.64","1,139.43","1,136.12","1,211.15","1,157.39","1,137.87","1,034.58","1,150.71","1,139.80","1,198.03","1,177.55","1,189.65","1,207.74","1,232.05","1,232.06","1,270.69","1,300.78","1,386.78","1,346.26","1,425.64","1,441.94","1,441.92","1,504.97","1,492.47","1,587.71","1,576.27","1,619.06","1,603.24","1,585.55","1,555.92","1,553.08","1,602.80","1,635.14",2013
Korea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,183.96","2,519.73","2,852.81","3,308.96","3,737.80","4,115.62","4,623.63","5,280.52","6,056.40","6,667.94","7,518.53","8,488.73","9,123.12","9,878.79","10,907.56","12,078.58","13,107.60","13,989.77","13,271.70","14,892.40","16,452.39","17,459.13","18,938.81","19,784.52","21,244.70","22,741.89","24,534.81","26,440.40","27,522.98","27,795.70","29,824.73","31,327.13","32,488.73","33,829.02",2014
Kosovo,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","33,178.76","28,139.21","25,870.63","27,057.47","28,859.18","26,837.31","28,072.11","29,494.09","26,085.81","32,493.37","24,507.22","23,396.42","41,897.49","56,375.60","60,868.31","60,128.55","57,099.33","45,813.27","46,691.99","46,884.88","51,056.86","50,246.97","50,149.87","57,029.21","60,025.87","62,783.80","65,387.68","66,615.65","68,753.32","63,577.29","61,124.43","67,131.21","71,612.54","71,385.09",2014
Kyrgyz Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,829.10","1,601.94","1,306.22","1,237.38","1,330.38","1,464.84","1,488.49","1,545.13","1,649.58","1,760.11","1,770.64","1,909.50","2,074.21","2,115.64","2,223.23","2,457.88","2,665.93","2,728.36","2,718.92","2,900.98","2,870.35","3,161.08",2012
Lao P.D.R.,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",521.332,645.052,701.224,731.912,785.364,860.713,895.239,884.105,870.828,966.479,"1,030.31","1,075.40","1,143.44","1,205.02","1,296.00","1,381.25","1,468.69","1,562.51","1,615.62","1,676.82","1,792.92","1,889.84","2,022.82","2,162.48","2,344.56","2,542.90","2,796.77","3,035.93","3,268.07","3,467.15","3,719.08","4,022.07","4,336.88","4,671.68",2012
Latvia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"5,965.05","5,427.05","5,753.35","6,042.52","6,387.14","7,138.24","7,745.31","8,105.81","8,798.00","9,758.25","10,768.78","12,043.35","13,613.22","15,664.80","18,199.31","20,690.10","20,584.80","18,037.29","18,087.01","19,811.70","21,460.24","22,800.24",2013
Lebanon,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,070.66","6,724.35","4,531.37","5,779.93","8,647.16","10,967.73","10,277.04","12,167.77","8,943.24","5,313.09","4,719.04","6,617.71","6,898.88","7,351.59","7,909.76","8,432.42","8,823.75","9,819.85","10,243.01","10,177.04","10,267.21","10,513.59","10,541.85","10,417.73","10,768.36","11,033.31","11,291.02","12,497.31","13,748.35","15,060.71","16,107.15","16,429.79","17,037.30","17,579.06",2011
Lesotho,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",459.246,504.257,551.109,575.094,632.9,659.241,682.826,683.222,741.748,790.328,838.588,895.332,935.76,971.339,"1,015.13","1,013.68","1,091.72","1,146.19","1,171.95","1,205.77","1,290.43","1,359.65","1,398.76","1,481.00","1,554.30","1,650.08","1,786.73","1,921.02","2,053.73","2,157.42","2,328.12","2,477.34","2,649.58","2,782.06",2006
Liberia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,587.995,599.713,626.375,456.527,484.537,521.732,564.585,644.572,687.198,698.077,719.181,768.548,825.723,888.692,2009
Libya,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,548.62","21,352.69","21,984.70","20,897.73","19,019.83","19,857.38","17,285.74","14,500.36","14,310.71","15,244.61","17,403.31","20,320.76","19,766.93","19,048.51","19,446.52","17,024.92","17,461.20","17,365.31","17,173.36","17,241.51","17,965.31","17,776.10","17,608.10","19,997.23","21,113.23","24,030.45","25,915.32","27,854.71","28,662.44","28,267.35","29,646.61","11,703.51","24,045.42","20,842.06",2014
Lithuania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"9,173.03","9,790.11","10,739.93","11,691.45","13,206.65","14,648.26","16,399.65","18,447.52","21,289.51","22,507.92","19,534.86","20,519.46","22,731.30","24,363.19","25,826.86",2013
Luxembourg,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,242.34","16,747.96","17,957.23","19,018.22","20,607.66","22,414.34","25,032.92","26,513.36","29,509.26","33,330.66","35,992.35","39,862.55","40,952.43","43,073.24","45,014.93","46,393.62","47,268.74","50,285.05","53,463.93","58,123.18","63,542.05","65,497.90","68,205.25","69,868.80","73,859.60","77,618.27","82,680.90","90,635.52","90,195.27","84,302.46","88,632.65","90,949.36","89,769.27","93,127.88",2014
FYR Macedonia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,161.43","5,806.70","5,793.92","5,815.14","5,951.00","6,115.32","6,359.94","6,708.34","7,144.76","7,060.26","7,255.60","7,547.11","8,092.69","8,729.15","9,436.01","10,297.87","11,055.82","11,077.65","11,563.94","12,064.07","12,215.43","12,724.01",2014
Madagascar,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",894.856,859.247,872.191,891.418,914.935,929.603,940.251,947.953,985.252,"1,034.11","1,073.32","1,008.33","1,012.38","1,026.43","1,016.02","1,022.26","1,030.40","1,052.88","1,071.52","1,103.77","1,143.10","1,201.60","1,036.72","1,126.58","1,182.88","1,242.15","1,311.03","1,392.03","1,479.19","1,380.56","1,362.30","1,371.64","1,399.50","1,414.47",2006
